연번,종류,시도,시군구,읍면동(행정동),관리번호,설치장소명,지번주소,경도,위도,설치일시,원단명,전체높이(M),펼침지름(M),제품제작업체,설치업체,영조물보험 가입 유무,관리기관명,관리기관전화번호
11,그늘막(고정형),경기도,구리시,갈매동,갈매동2024-021,갈매현대테라타워 앞,경기도 구리시 갈매동 552-19 ,127.1228591,37.6338524,2024-06-11,메시원단,3.4,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
12,그늘막(고정형),경기도,구리시,갈매동,갈매동2024-022,갈매아너시티 앞,경기도 구리시 갈매동 552-19 ,127.1228698,37.6340244,2024-06-11,메시원단,3.4,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
13,그늘막(고정형),경기도,구리시,갈매동,갈매동2024-023,한라비발디 정문 정류장 옆,경기도 구리시 갈매동 579 ,127.1189028,37.6342921,2024-06-11,메시원단,3.4,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
14,그늘막(고정형),경기도,구리시,갈매동,갈매동2024-024,갈매 1차 대방디엠시티 앞,경기도 구리시 갈매동 606 ,127.1157056,37.6319067,2024-06-11,메시원단,3.4,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
15,그늘막(고정형),경기도,구리시,갈매동,갈매동2024-025,갈매 1차 대방디엠시티 맞은편,경기도 구리시 갈매동 606 ,127.1159068,37.6318302,2024-06-11,메시원단,3.4,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
16,그늘막(고정형),경기도,구리시,갈매동,갈매동2024-026,갈매스타힐스 정문 앞,경기도 구리시 갈매동 584 ,127.1188921,37.630305,2024-06-11,메시원단,3.4,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
17,그늘막(고정형),경기도,구리시,갈매동,갈매동 2017-001,술막사거리(한라비발디 APT),경기도 구리시 갈매동 114-6 ,127.120185,37.6384995,2017-08-22,아크릴원단(방수),3.6,4,보라매컨설팅,보라매컨설팅,Y,구리시청,031-550-2162
18,그늘막(고정형),경기도,구리시,갈매동,갈매동 2017-002,술막사거리(상가),경기도 구리시 갈매동 114-9 ,127.1205307,37.638596,2017-08-22,아크릴원단(방수),3.6,4,보라매컨설팅,보라매컨설팅,Y,구리시청,031-550-2162
19,그늘막(고정형),경기도,구리시,갈매동,갈매동 2017-003,새우개삼거리(더샵아파트 건너편),경기도 구리시 갈매동 467-16 ,127.110927,37.6261223,2017-08-22,아크릴원단(방수),3.6,4,보라매컨설팅,보라매컨설팅,Y,구리시청,031-550-2162
20,그늘막(고정형),경기도,구리시,갈매동,갈매동 2017-004,새우개삼거리(더샵아파트),경기도 구리시 갈매동 458-182 ,127.1107964,37.6258837,2017-08-22,아크릴원단(방수),3.6,5,보라매컨설팅,보라매컨설팅,Y,구리시청,031-550-2162
21,그늘막(고정형),경기도,구리시,갈매동,갈매동 2017-005,갈매중앙로 사거리(대박통신 앞),경기도 구리시 갈매동 320-8 ,127.1170071,37.631403,2017-08-22,아크릴원단(방수),3.3,3,보라매컨설팅,보라매컨설팅,Y,구리시청,031-550-2162
22,그늘막(고정형),경기도,구리시,갈매동,갈매동 2017-006,갈매역사거리(행복센터 방향),경기도 구리시 갈매동 275-29 ,127.1147168,37.6320427,2017-08-22,아크릴원단(방수),3.6,4,보라매컨설팅,보라매컨설팅,Y,구리시청,031-550-2162
23,그늘막(고정형),경기도,구리시,갈매동,갈매동 2018-002,갈매역사거리(주상복합),경기도 구리시 갈매동 275-19 ,127.1148504,37.6323106,2018-03-24,아크릴원단(방수),3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
24,그늘막(고정형),경기도,구리시,갈매동,갈매동 2018-003,갈매역사거리(담터),경기도 구리시 갈매동 275-5 ,127.1144795,37.6324281,2018-03-24,아크릴원단(방수),3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
25,그늘막(고정형),경기도,구리시,갈매동,갈매동 2018-004,갈매역사거리(담터),경기도 구리시 갈매동 275-7 ,127.1143659,37.6321849,2018-03-24,아크릴원단(방수),3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
26,그늘막(고정형),경기도,구리시,갈매동,갈매동 2019-007,협동사거리(이마트 24) 횡단보도,경기도 구리시 갈매동 529-2 ,127.1217367,37.6364797,2019-11-21,아크릴원단(방수),3.6,4,㈜토탈준아,㈜토탈준아,Y,구리시청,031-550-2162
27,그늘막(고정형),경기도,구리시,갈매동,갈매동 2019-008,협동사거리(한라비발디 아파트 앞 횡단보도),경기도 구리시 갈매동 79-2 ,127.1214307,37.6363944,2019-11-21,아크릴원단(방수),3.6,4,㈜토탈준아,㈜토탈준아,Y,구리시청,031-550-2162
28,그늘막(고정형),경기도,구리시,갈매동,갈매동 2019-009,갈매초등하교 정문 횡단보도,경기도 구리시 갈매동 339-36 ,127.1155157,37.6284672,2019-11-21,아크릴원단(방수),3.6,4,㈜토탈준아,㈜토탈준아,Y,구리시청,031-550-2162
29,그늘막(고정형),경기도,구리시,갈매동,갈매동 2020-001,산마루초 정문 횡단보도,경기도 구리시 갈매동 575 ,127.1208299,37.6309486,2020-05-31,메시원단,3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
30,그늘막(고정형),경기도,구리시,갈매동,갈매동 2020-002,갈매동 스타힐스 정문(정문 맞은편 횡단보도),경기도 구리시 갈매동 584 ,127.119178,37.6305223,2020-05-31,메시원단,3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
31,그늘막(고정형),경기도,구리시,갈매동,갈매동 2020-003,갈매동 스위첸 정문(정문 앞 횡단보도),경기도 구리시 갈매동 585 ,127.1140832,37.626991,2020-05-31,메시원단,3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
32,그늘막(고정형),경기도,구리시,갈매동,갈매동 2020-004,갈매동 협동사거리(2단지 아파트 횡단보도),경기도 구리시 갈매동 529-2 ,127.1215719,37.6361803,2020-05-31,메시원단,3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
33,그늘막(고정형),경기도,구리시,갈매동,갈매동 2021-001,갈매1단지 프라임마트 앞 횡단보도,경기도 구리시 갈매동 573 ,127.1210551,37.6321528,2021-05-28,아크릴원단(방수),3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
34,그늘막(고정형),경기도,구리시,갈매동,갈매동 2021-002,갈매지구대 앞,경기도 구리시 갈매동 654 ,127.1203764,37.6297054,2021-05-28,아크릴원단(방수),3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
35,그늘막(고정형),경기도,구리시,갈매동,갈매동 2021-003,갈매초등학교 앞,경기도 구리시 갈매동 643 ,127.1157934,37.6288392,2021-05-28,아크릴원단(방수),3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
36,그늘막(고정형),경기도,구리시,갈매동,갈매동 2021-004,갈매초등학교 앞,경기도 구리시 갈매동 643 ,127.1157814,37.6287328,2021-05-28,아크릴원단(방수),3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
37,그늘막(스마트형),경기도,구리시,갈매동,갈매동 2021-007,갈매초등학교 정문 우측 화단 앞,경기도 구리시 갈매동 642-2 ,127.1154643,37.6282735,2021-08-13,알루미늄,3,5.4,(주)대상디자인,(주)대상디자인,Y,구리시청,031-550-2162
38,그늘막(스마트형),경기도,구리시,갈매동,갈매동 2022-009,갈매와이시티 정문(우),경기도 구리시 갈매동 622-2 ,127.1162943,37.6302771,2022-06-15,스마트,3,5.4,(주)유퍼니,(주)유퍼니,Y,구리시청,031-550-2162
39,그늘막(스마트형),경기도,구리시,갈매동,갈매동 2022-010,갈매2단지 정문(우),경기도 구리시 갈매동 108-8 ,127.1199907,37.6357143,2022-06-15,스마트,3,5.4,(주)유퍼니,(주)유퍼니,Y,구리시청,031-550-2162
40,그늘막(스마트형),경기도,구리시,갈매동,갈매동 2022-011,갈매한라비발디 정문(좌),경기도 구리시 갈매동 108-3 ,127.1202025,37.635909,2022-06-15,스마트,3,5.4,(주)유퍼니,(주)유퍼니,Y,구리시청,031-550-2162
41,그늘막(스마트형),경기도,구리시,갈매동,갈매동 2022-012,갈매중학교 앞 사거리,경기도 구리시 갈매동 387-54 ,127.1201408,37.6302759,2022-06-15,스마트,3,5.4,(주)유퍼니,(주)유퍼니,Y,구리시청,031-550-2162
42,그늘막(스마트형),경기도,구리시,갈매동,갈매동 2022-013,갈매동 행정복지센터 앞 사거리,경기도 구리시 갈매동 382-19 ,127.1168483,37.6310981,2022-06-15,스마트,3,5.4,(주)유퍼니,(주)유퍼니,Y,구리시청,031-550-2162
43,그늘막(스마트형),경기도,구리시,갈매동,갈매동 2022-025,갈매와이시티 정문(좌),경기도 구리시 갈매동 334-2 ,127.1153454,37.6289025,2022-06-15,스마트,3,5.4,(주)유퍼니,(주)유퍼니,Y,구리시청,031-550-2162
44,그늘막(고정형),경기도,구리시,갈매동,갈매동 2022-026,LH1단지 아파트 정문 (우) ,경기도 구리시 갈매동 568 ,127.1217,37.6322,2022-12-09,메시원단,4,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
45,그늘막(고정형),경기도,구리시,갈매동,갈매동 2022-027,LH1단지 아파트 정문 후문,경기도 구리시 갈매동 579 ,127.1193,37.6343,2022-12-09,메시원단,4,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
46,그늘막(고정형),경기도,구리시,갈매동,갈매동 2022-028,갈매중앙로 상가 ,경기도 구리시 갈매동 604-2 ,127.1176,37.6324,2022-12-09,메시원단,4,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
47,그늘막(고정형),경기도,구리시,갈매동,갈매동 2022-029,갈매푸르지오 정문 (좌),경기도 구리시 갈매동 640 ,127.1142,37.6266,2022-12-09,메시원단,4,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
48,그늘막(고정형),경기도,구리시,갈매동,갈매동 2022-030,갈매푸르지오 정문 (우),경기도 구리시 갈매동 640 ,127.1144,37.6268,2022-12-09,메시원단,4,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
49,그늘막(고정형),경기도,구리시,갈매동,갈매동 2022-031,갈매더샵아파트 상가,경기도 구리시 갈매동 665 ,127.112,37.6257,2022-12-09,메시원단,4,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
50,그늘막(고정형),경기도,구리시,갈매동,갈매동 2022-032,갈매더샵아파트 정문(우),경기도 구리시 갈매동 665 ,127.1119,37.6255,2022-12-09,메시원단,4,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
51,그늘막(고정형),경기도,구리시,갈매동,갈매동 2022-033,갈매한라비발디 후문(좌),경기도 구리시 갈매동 568 ,127.1208,37.6373,2022-12-09,메시원단,4,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
52,그늘막(고정형),경기도,구리시,갈매동,갈매동 2022-034,갈매한라비발디 후문(우),경기도 구리시 갈매동 568 ,127.1209,37.6372,2022-12-09,메시원단,4,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
53,그늘막(고정형),경기도,구리시,갈매동,갈매동 2022-035,갈매교차로 교통섬,경기도 구리시 갈매동 18-12 ,127.126,37.641,2022-12-09,메시원단,4,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
54,그늘막(고정형),경기도,구리시,갈매동,갈매동 2022-036,마골삼거리 상가(좌),경기도 구리시 갈매동 585 ,127.1131,37.6252,2022-12-09,메시원단,4,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
55,그늘막(고정형),경기도,구리시,갈매동,갈매동 2022-037,마골삼거리 상가(우),경기도 구리시 갈매동 585 ,127.1128,37.6254,2022-12-09,메시원단,4,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
56,그늘막(고정형),경기도,구리시,갈매동,갈매동 2023-001,갈매역 아이파크아파트 정문(좌),경기도 구리시 갈매동 585 ,127.1184,37.6335,2023-06-21,메시원단,3.5,4,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
57,그늘막(고정형),경기도,구리시,갈매동,갈매동 2023-002,갈매역 아이파크아파트 정문(우),경기도 구리시 갈매동 285-8 ,127.1182083,37.6333759,2023-06-21,메시원단,3.5,4,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
58,그늘막(고정형),경기도,구리시,갈매동,갈매동 2023-003,파리바게뜨 갈매중앙점 앞,경기도 구리시 갈매동 602 ,127.1177173,37.6325312,2023-06-21,메시원단,3.5,4,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
59,그늘막(고정형),경기도,구리시,갈매동,갈매동 2023-004,국민건강보험공단 앞,경기도 구리시 갈매동 산 71 ,127.1179774,37.632238,2023-06-21,메시원단,3.5,5,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
60,그늘막(고정형),경기도,구리시,갈매동,갈매동 2023-005,중앙로사거리 갈매동복합청사 앞,경기도 구리시 갈매동 306-2 ,127.1174437,37.6313119,2023-06-21,메시원단,3.5,5,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
61,그늘막(고정형),경기도,구리시,갈매동,갈매동 2023-006,중앙로사거리 KT대리점 앞,경기도 구리시 갈매동 306-8 ,127.1171969,37.6309508,2023-06-21,메시원단,3.5,4,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
62,그늘막(고정형),경기도,구리시,갈매동,갈매동 2023-007,제자교회 앞 삼거리 맞은편,경기도 구리시 갈매동 135-5 ,127.1157002,37.6293618,2023-06-21,메시원단,3.5,4,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
63,그늘막(고정형),경기도,구리시,갈매동,갈매동 2023-008,제자교회 앞 횡단보도,경기도 구리시 갈매동 641 ,127.116115,37.629312,2023-06-21,메시원단,3.5,4,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
64,그늘막(고정형),경기도,구리시,갈매동,갈매동 2023-009,갈매6단지 아파트 정문(우),경기도 구리시 갈매동 585 ,127.113952,37.626876,2023-06-21,메시원단,3.5,4,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
65,그늘막(고정형),경기도,구리시,동구동,동구동2023-030,구리문화원.원일가대라곡아파트 버스정류장 옆,경기도 구리시 인창동 444-11 ,127.1381181,37.6122374,2023-06-21,메시원단,3.5,4,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
66,그늘막(고정형),경기도,구리시,동구동,동구동2023-031,구지초교삼거리 횡단보도,경기도 구리시 인창동 666-3 ,127.1419215,37.6064972,2023-06-21,메시원단,3.5,4,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
67,그늘막(고정형),경기도,구리시,동구동,동구동2024-011,구지초교삼거리 북서측,경기도 구리시 인창동 681-1 ,127.1417257,37.6063909,2024-06-11,메시원단,3.5,3,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
68,그늘막(고정형),경기도,구리시,동구동,동구동2024-012,구지초등학교 정문 옆,경기도 구리시 인창동 666-3 ,127.1417633,37.6068733,2024-06-11,메시원단,3.5,3,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
69,그늘막(고정형),경기도,구리시,동구동,동구동2024-013,구지초등학교 정문 맞은편,경기도 구리시 인창동 681-1 ,127.141597,37.6067777,2024-06-11,메시원단,3.5,3,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
70,그늘막(고정형),경기도,구리시,동구동,동구동2024-027,인창119안전센터 앞,경기도 구리시 인창동 685 ,127.1419483,37.6043255,2024-06-11,메시원단,3.4,3,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
71,그늘막(고정형),경기도,구리시,동구동,동구동 2017-007,주공1단지공원 앞,경기도 구리시 인창동 412-14 ,127.1387226,37.609053,2017-08-22,아크릴원단(방수),3.6,5,보라매컨설팅,보라매컨설팅,Y,구리시청,031-550-2162
72,그늘막(고정형),경기도,구리시,동구동,동구동 2017-008,화성골드프라자 앞,경기도 구리시 인창동 670-7 ,127.1403783,37.6041902,2017-08-22,아크릴원단(방수),3.6,5,보라매컨설팅,보라매컨설팅,Y,구리시청,031-550-2162
73,그늘막(고정형),경기도,구리시,동구동,동구동 2018-007,인창 대림e편한APT 후문 교통섬,경기도 구리시 인창동 458-91 ,127.1363625,37.609736,2018-08-01,아크릴원단(방수),3.3,3,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
74,그늘막(고정형),경기도,구리시,동구동,동구동 2018-009,돌다리사거리(리맥스빌딩 앞) 교통섬,경기도 구리시 인창동 690-1 ,127.141375,37.6012405,2018-08-01,아크릴원단(방수),3.3,3,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
75,그늘막(고정형),경기도,구리시,동구동,동구동 2018-013,무봉리순대국 두레물골 입구,경기도 구리시 사노동 340-31 ,127.1401436,37.6359975,2018-08-20,아크릴원단(방수),3.6,4,㈜토탈준아,㈜토탈준아,Y,구리시청,031-550-2162
76,그늘막(고정형),경기도,구리시,동구동,동구동 2018-014,건영아파트 앞,경기도 구리시 인창동 450-3 ,127.1377828,37.6122188,2018-08-20,아크릴원단(방수),3.6,4,㈜토탈준아,㈜토탈준아,Y,구리시청,031-550-2162
77,그늘막(고정형),경기도,구리시,동구동,동구동 2018-015,인창주공3단지 삼보2공원 앞 ,경기도 구리시 인창동 344-10 ,127.139742,37.6060515,2018-08-20,아크릴원단(방수),3.6,4,㈜토탈준아,㈜토탈준아,Y,구리시청,031-550-2162
78,그늘막(고정형),경기도,구리시,동구동,동구동 2018-017,롯데백화점 횡단보도 앞,경기도 구리시 인창동 690-3 ,127.1435965,37.6022627,2018-08-20,아크릴원단(방수),3.6,4,㈜토탈준아,㈜토탈준아,Y,구리시청,031-550-2162
79,그늘막(고정형),경기도,구리시,동구동,동구동 2019-001,안말 알뜰마트 황단보도,경기도 구리시 사노동 209-32 ,127.1419072,37.6325176,2019-08-23,아크릴원단(방수),3.6,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
80,그늘막(고정형),경기도,구리시,동구동,동구동 2019-002,한진그랑빌 횡단보도,경기도 구리시 인창동 40-20 ,127.140248,37.6192346,2019-08-23,아크릴원단(방수),3.3,3,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
81,그늘막(고정형),경기도,구리시,동구동,동구동 2020-005,산마루로(골프존 앞 임시정류장 횡단보도),경기도 구리시 사노동 193-34 ,127.1382371,37.6312448,2020-05-31,아크릴원단(방수),3.3,3,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
82,그늘막(스마트형),경기도,구리시,동구동,동구동 2021-008,어반포레 사거리 ,경기도 구리시 인창동 679-7 ,127.1400439,37.6040283,2021-08-13,알루미늄,3,5.4,(주)대상디자인,(주)대상디자인,Y,구리시청,031-550-2162
83,그늘막(고정형),경기도,구리시,동구동,동구동 2022-001,공설묘지입구사거리(농협영농자재사업장),경기도 구리시 사노동 181-10 ,127.1411391,37.6297705,2022-06-15,메시원단,3,3,(주)피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
84,그늘막(고정형),경기도,구리시,동구동,동구동 2022-002,공설묘지입구사거리(대진자동차공업사),경기도 구리시 사노동 181-10 ,127.1412334,37.6301015,2022-06-15,메시원단,3,3,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
85,그늘막(고정형),경기도,구리시,동구동,동구동 2022-003,공설묘지입구사거리(들꽃나무숲화원),경기도 구리시 사노동 196-14 ,127.1407631,37.6299821,2022-06-15,메시원단,3,3,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
86,그늘막(고정형),경기도,구리시,동구동,동구동 2022-004,동구초교사거리 예향교회,경기도 구리시 인창동 663-5 ,127.1410297,37.6083733,2022-06-15,메시원단,3,3,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
87,그늘막(고정형),경기도,구리시,동구동,동구동 2022-005,동구초교사거리 동구초교,경기도 구리시 인창동 682 ,127.1413063,37.6083632,2022-06-15,메시원단,3,3,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
88,그늘막(고정형),경기도,구리시,동구동,동구동 2022-006,동인초등학교 정문,경기도 구리시 인창동 495-65 ,127.1341765,37.6099765,2022-06-15,메시원단,4,3,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
89,그늘막(고정형),경기도,구리시,동구동,동구동 2022-007,동인초등학교 후문,경기도 구리시 인창동 486-1 ,127.133524,37.6113949,2022-06-15,메시원단,4,4,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
90,그늘막(스마트형),경기도,구리시,동구동,동구동 2022-014,구리 유통종합시장 입구,경기도 구리시 인창동 430 ,127.1413225,37.6114587,2022-06-15,스마트,3,5.4,(주)유퍼니,(주)유퍼니,Y,구리시청,031-550-2162
91,그늘막(스마트형),경기도,구리시,동구동,동구동 2022-015,롯데아울렛 앞,경기도 구리시 인창동 430-6 ,127.1404162,37.6113109,2022-06-15,스마트,3,5.4,(주)유퍼니,(주)유퍼니,Y,구리시청,031-550-2162
92,그늘막(스마트형),경기도,구리시,동구동,동구동 2022-016,구리랜드마크타워,경기도 구리시 인창동 685 ,127.1404307,37.6039547,2022-06-15,스마트,3,5.4,(주)유퍼니,(주)유퍼니,Y,구리시청,031-550-2162
93,그늘막(스마트형),경기도,구리시,동구동,동구동 2022-017,인창어반포레 사거리,경기도 구리시 인창동 320-2 ,127.1400688,37.6037846,2022-06-15,스마트,3,3.2,(주)유퍼니,(주)유퍼니,Y,구리시청,031-550-2162
94,그늘막(스마트형),경기도,구리시,동구동,동구동 2022-018,삼환신일상가 앞,경기도 구리시 인창동 667-1 ,127.142152,37.6045661,2022-06-15,스마트,3,5.4,(주)유퍼니,(주)유퍼니,Y,구리시청,031-550-2162
95,그늘막(스마트형),경기도,구리시,동구동,동구동 2022-019,공설묘지입구사거리,경기도 구리시 사노동 199-7 ,127.1408405,37.630124,2022-06-15,스마트,3,3.2,(주)유퍼니,(주)유퍼니,Y,구리시청,031-550-2162
96,그늘막(고정형),경기도,구리시,동구동,동구동 2023-010,구리황내과의원 앞 사거리(서측),경기도 구리시 인창동 679-7 ,127.138732,37.607918,2023-06-21,메시원단,3.5,3,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
97,그늘막(고정형),경기도,구리시,동구동,동구동 2023-011,구리황내과의원 앞 사거리(동측),경기도 구리시 인창동 663-6 ,127.139097,37.607973,2023-06-21,메시원단,3.5,4,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
98,그늘막(고정형),경기도,구리시,동구동,동구동 2023-012,롯데백화점 주차장 앞 경춘로 삼거리,경기도 구리시 인창동 690-4 ,127.145108,37.602937,2023-06-21,메시원단,3.5,3,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
99,그늘막(고정형),경기도,구리시,인창동,인창동2024-014,다이소 앞,경기도 구리시 인창동 527-21 ,127.1341377,37.6057471,2024-06-11,메시원단,3.5,4,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
100,그늘막(고정형),경기도,구리시,인창동,인창동2024-028,부영아파트 앞 횡단보도,경기도 구리시 인창동 533-3 ,127.1307126,37.6078529,2024-06-11,메시원단,3.4,3,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
101,그늘막(고정형),경기도,구리시,인창동,인창동2024-029,인창삼거리 교통섬,경기도 구리시 인창동 546-4 ,127.1330997,37.6043191,2024-06-11,메시원단,3.4,3,(주)피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
102,그늘막(고정형),경기도,구리시,인창동,인창동 2017-009,교문사거리 교통섬(한양대 방향) 교통섬,경기도 구리시 교문동 258-3 ,127.1308146,37.6009644,2017-08-22,아크릴원단(방수),3.6,4,보라매컨설팅,보라매컨설팅,Y,구리시청,031-550-2162
103,그늘막(고정형),경기도,구리시,인창동,인창동 2017-010,배탈고개 동성교회 앞,경기도 구리시 인창동 522-3 ,127.1344967,37.6081929,2017-08-22,아크릴원단(방수),3.3,3,보라매컨설팅,보라매컨설팅,Y,구리시청,031-550-2162
