lat,lon,ta_avg,td_avg,hm_avg,geometry
37.563902,127.120166,13.5,6.0,64.0,POINT (127.120166 37.563902)
37.568522,127.120247,13.6,5.9,63.0,POINT (127.120247 37.568522)
37.573141,127.120328,13.8,6.2,63.0,POINT (127.120328 37.573141)
37.577761,127.12041,13.8,7.3,68.0,POINT (127.12041 37.577761)
37.582381,127.120491,13.0,6.8,69.0,POINT (127.120491 37.582381)
37.587,127.120572,12.8,6.5,69.0,POINT (127.120572 37.587)
37.59162,127.120653,12.6,5.9,67.0,POINT (127.120653 37.59162)
37.59624,127.120735,12.5,5.8,66.0,POINT (127.120735 37.59624)
37.60086,127.120816,12.6,6.0,67.0,POINT (127.120816 37.60086)
37.60548,127.120897,12.9,6.7,69.0,POINT (127.120897 37.60548)
37.6101,127.120979,13.0,6.9,70.0,POINT (127.120979 37.6101)
37.61472,127.12106,13.0,6.9,70.0,POINT (127.12106 37.61472)
37.61934,127.121141,12.7,6.4,69.0,POINT (127.121141 37.61934)
37.62396,127.121223,12.7,6.4,69.0,POINT (127.121223 37.62396)
37.62858,127.121304,13.1,7.0,71.0,POINT (127.121304 37.62858)
37.6332,127.121385,13.4,7.0,69.0,POINT (127.121385 37.6332)
37.637821,127.121467,13.4,6.8,68.0,POINT (127.121467 37.637821)
37.642441,127.121548,13.4,6.5,67.0,POINT (127.121548 37.642441)
37.563837,127.125969,13.4,6.0,64.0,POINT (127.125969 37.563837)
37.568457,127.126051,13.4,6.0,64.0,POINT (127.126051 37.568457)
37.573077,127.126133,13.4,5.9,64.0,POINT (127.126133 37.573077)
37.577696,127.126214,13.7,6.1,63.0,POINT (127.126214 37.577696)
37.582316,127.126296,13.9,7.2,67.0,POINT (127.126296 37.582316)
37.586936,127.126378,13.8,7.2,68.0,POINT (127.126378 37.586936)
37.591555,127.126459,13.4,7.2,70.0,POINT (127.126459 37.591555)
37.596175,127.126541,13.0,6.9,70.0,POINT (127.126541 37.596175)
37.600795,127.126623,13.1,7.0,70.0,POINT (127.126623 37.600795)
37.605415,127.126704,13.2,7.1,70.0,POINT (127.126704 37.605415)
37.610035,127.126786,13.3,7.1,70.0,POINT (127.126786 37.610035)
37.614655,127.126868,13.3,7.1,70.0,POINT (127.126868 37.614655)
37.619275,127.12695,13.1,7.0,71.0,POINT (127.12695 37.619275)
37.623895,127.127031,12.9,7.0,71.0,POINT (127.127031 37.623895)
37.628515,127.127113,13.0,7.0,71.0,POINT (127.127113 37.628515)
37.633135,127.127195,13.1,7.1,71.0,POINT (127.127195 37.633135)
37.637756,127.127277,13.3,7.1,70.0,POINT (127.127277 37.637756)
37.642376,127.127359,13.4,6.7,67.0,POINT (127.127359 37.642376)
37.568392,127.131854,13.4,6.0,64.0,POINT (127.131854 37.568392)
37.573011,127.131937,13.4,6.0,64.0,POINT (127.131937 37.573011)
37.577631,127.132019,13.4,5.9,64.0,POINT (127.132019 37.577631)
37.582251,127.132101,13.4,5.9,64.0,POINT (127.132101 37.582251)
37.58687,127.132183,13.5,6.0,64.0,POINT (127.132183 37.58687)
37.59149,127.132265,13.7,6.3,64.0,POINT (127.132265 37.59149)
37.59611,127.132347,13.7,6.8,66.0,POINT (127.132347 37.59611)
37.60073,127.132429,13.7,6.9,67.0,POINT (127.132429 37.60073)
37.60535,127.132511,13.7,6.9,67.0,POINT (127.132511 37.60535)
37.60997,127.132593,13.6,6.8,67.0,POINT (127.132593 37.60997)
37.61459,127.132676,13.6,6.7,66.0,POINT (127.132676 37.61459)
37.61921,127.132758,13.6,6.8,67.0,POINT (127.132758 37.61921)
37.62383,127.13284,13.4,7.1,69.0,POINT (127.13284 37.62383)
37.62845,127.132922,13.3,7.1,70.0,POINT (127.132922 37.62845)
37.63307,127.133004,13.3,7.1,70.0,POINT (127.133004 37.63307)
37.63769,127.133087,13.3,7.0,69.0,POINT (127.133087 37.63769)
37.642311,127.133169,13.4,6.7,68.0,POINT (127.133169 37.642311)
37.568326,127.137658,13.4,5.9,63.0,POINT (127.137658 37.568326)
37.572946,127.137741,13.3,6.0,64.0,POINT (127.137741 37.572946)
37.577566,127.137823,13.3,6.0,64.0,POINT (127.137823 37.577566)
37.582185,127.137906,13.3,5.9,64.0,POINT (127.137906 37.582185)
37.586805,127.137988,13.3,5.9,64.0,POINT (127.137988 37.586805)
37.591425,127.138071,13.3,5.9,64.0,POINT (127.138071 37.591425)
37.596045,127.138153,13.4,6.0,64.0,POINT (127.138153 37.596045)
37.600664,127.138236,13.4,6.1,65.0,POINT (127.138236 37.600664)
37.605284,127.138318,13.4,6.1,65.0,POINT (127.138318 37.605284)
37.609904,127.138401,13.4,6.1,65.0,POINT (127.138401 37.609904)
37.614524,127.138483,13.3,6.1,65.0,POINT (127.138483 37.614524)
37.619144,127.138566,13.4,6.2,66.0,POINT (127.138566 37.619144)
37.623764,127.138649,13.5,6.6,66.0,POINT (127.138649 37.623764)
37.628384,127.138731,13.4,6.7,67.0,POINT (127.138731 37.628384)
37.633005,127.138814,13.4,6.5,67.0,POINT (127.138814 37.633005)
37.637625,127.138897,13.3,6.5,67.0,POINT (127.138897 37.637625)
37.642245,127.138979,13.3,6.5,67.0,POINT (127.138979 37.642245)
37.646865,127.139062,13.2,6.5,67.0,POINT (127.139062 37.646865)
37.56826,127.143462,13.6,6.4,65.0,POINT (127.143462 37.56826)
37.57288,127.143545,13.3,5.9,64.0,POINT (127.143545 37.57288)
37.5775,127.143628,13.3,6.0,65.0,POINT (127.143628 37.5775)
37.582119,127.14371,13.2,5.9,65.0,POINT (127.14371 37.582119)
37.586739,127.143793,13.2,5.9,65.0,POINT (127.143793 37.586739)
37.591359,127.143876,13.2,5.9,65.0,POINT (127.143876 37.591359)
37.595979,127.143959,13.3,6.0,65.0,POINT (127.143959 37.595979)
37.600599,127.144042,13.3,6.0,65.0,POINT (127.144042 37.600599)
37.605218,127.144125,13.2,6.0,65.0,POINT (127.144125 37.605218)
37.609838,127.144208,13.2,6.0,65.0,POINT (127.144208 37.609838)
37.614458,127.144291,13.1,6.0,66.0,POINT (127.144291 37.614458)
37.619078,127.144374,13.1,6.1,66.0,POINT (127.144374 37.619078)
37.623698,127.144457,13.1,6.1,66.0,POINT (127.144457 37.623698)
37.628319,127.14454,13.1,6.2,66.0,POINT (127.14454 37.628319)
37.632939,127.144623,13.1,6.2,67.0,POINT (127.144623 37.632939)
37.637559,127.144706,13.1,6.2,67.0,POINT (127.144706 37.637559)
37.642179,127.14479,13.1,6.3,67.0,POINT (127.14479 37.642179)
37.6468,127.144873,13.1,6.3,67.0,POINT (127.144873 37.6468)
37.568194,127.149265,13.5,6.4,65.0,POINT (127.149265 37.568194)
37.572814,127.149349,13.3,5.9,64.0,POINT (127.149349 37.572814)
37.577434,127.149432,13.3,6.0,65.0,POINT (127.149432 37.577434)
37.582053,127.149515,13.2,6.0,65.0,POINT (127.149515 37.582053)
37.586673,127.149599,13.2,5.9,65.0,POINT (127.149599 37.586673)
37.591293,127.149682,13.2,5.9,65.0,POINT (127.149682 37.591293)
37.595912,127.149765,13.2,5.9,65.0,POINT (127.149765 37.595912)
37.600532,127.149849,13.2,6.0,65.0,POINT (127.149849 37.600532)
37.605152,127.149932,13.1,6.0,65.0,POINT (127.149932 37.605152)
37.609772,127.150016,13.1,6.0,66.0,POINT (127.150016 37.609772)
37.632873,127.150433,13.0,6.2,67.0,POINT (127.150433 37.632873)
37.637493,127.150516,13.0,6.2,67.0,POINT (127.150516 37.637493)
37.642113,127.1506,13.0,6.2,67.0,POINT (127.1506 37.642113)
37.572747,127.155153,13.3,6.0,64.0,POINT (127.155153 37.572747)
37.577367,127.155236,13.2,6.0,65.0,POINT (127.155236 37.577367)
37.581987,127.15532,13.2,6.0,65.0,POINT (127.15532 37.581987)
37.586606,127.155404,13.2,5.9,65.0,POINT (127.155404 37.586606)
37.591226,127.155488,13.2,6.0,65.0,POINT (127.155488 37.591226)
37.595846,127.155571,13.1,6.0,65.0,POINT (127.155571 37.595846)
37.5773,127.161041,13.2,6.0,65.0,POINT (127.161041 37.5773)
37.58192,127.161125,13.2,6.0,65.0,POINT (127.161125 37.58192)
37.58654,127.161209,13.1,6.0,65.0,POINT (127.161209 37.58654)
37.591159,127.161293,13.1,6.0,65.0,POINT (127.161293 37.591159)
37.595779,127.161378,13.1,6.0,65.0,POINT (127.161378 37.595779)
37.577233,127.166845,13.2,6.0,65.0,POINT (127.166845 37.577233)
37.581853,127.16693,13.1,6.0,65.0,POINT (127.16693 37.581853)
37.591092,127.167099,13.1,6.0,65.0,POINT (127.167099 37.591092)
37.595712,127.167184,13.1,6.0,65.0,POINT (127.167184 37.595712)
37.581785,127.172735,13.1,6.0,65.0,POINT (127.172735 37.581785)
